	th1_ko1.cel	th1_ko2.cel	th1_ko3.cel	th1_wt1.cel	th1_wt2.cel	th1_wt3.cel
1430821_at	4.684487	4.775275	4.769053	4.695399	4.963172	4.627105
1430822_at	4.252739	4.080793	3.831639	3.939283	4.472572	4.162666
1430823_at	4.49787	4.685533	4.766797	4.438829	4.465681	4.497821
1430824_at	3.750478	3.721982	3.296861	3.574971	3.533546	3.916656
1430825_at	4.064452	3.74545	3.878312	3.987586	4.078766	3.833112
1430826_s_at	3.413164	3.615105	3.676272	3.700519	3.70964	3.614873
1430827_a_at	3.460461	3.3072	3.348077	3.471076	3.395194	3.3072
1430828_at	3.588127	3.630714	3.62418	3.674579	3.70738	3.571775
1430829_s_at	5.550305	5.408307	5.225302	5.327801	5.353198	5.449537
1430830_at	4.97831	5.140908	4.996744	4.981721	4.900344	4.963287
1430831_at	4.729304	4.870338	4.60418	4.684197	4.893297	4.658365
1430832_at	4.247772	4.200306	4.264643	4.090931	4.168934	4.109961
1430833_at	8.470418	8.006144	8.239269	8.307921	8.447674	8.365656
1430834_at	4.856622	4.141391	4.236923	4.416255	4.286294	4.03187
1430835_at	4.315582	4.241673	4.061722	4.238351	4.45513	4.361821
1430836_at	3.915669	3.981676	3.765705	4.04763	3.884316	3.875552
1430837_a_at	6.275769	5.997103	5.889317	6.207626	6.119658	6.181234
1430838_x_at	5.575097	5.716552	5.901816	5.997737	5.755394	5.720551
1430839_at	3.47454	3.501886	3.47302	3.159169	3.373687	3.406257
1430840_at	3.878255	3.710449	3.762302	3.902172	3.883937	4.060195
1430841_at	4.065957	3.889588	3.680967	4.079738	4.019434	3.929127
1430842_at	3.437962	3.297965	3.193503	3.347787	3.336311	3.297965
1430843_at	4.55661	4.61135	4.382161	4.686593	4.676789	4.582118
1430844_at	5.764532	5.802633	5.610342	5.715684	5.801135	5.740805
1430845_at	4.295937	4.192283	4.113988	4.228363	4.36128	4.23544
1430846_at	5.402725	5.503453	5.4649	5.695332	5.494945	5.568765
1430847_a_at	3.808342	3.817013	3.949233	3.907578	3.893606	3.672766
1430848_a_at	5.720492	5.633372	5.395786	5.699294	5.580819	5.599627
1430849_a_at	7.116604	6.826088	6.99222	6.925079	6.749847	6.975231
1430850_x_at	5.338208	5.215895	4.976967	5.069088	5.162692	4.992226
1430851_at	6.13728	6.095846	6.002607	6.099806	6.218569	6.123499
1430852_at	5.263583	5.34155	4.880029	5.426149	5.516038	5.471145
